CODIGO MUNICIPIO IBGE;NOME ENTE;NOTA-GERAL;FAIXA GERAL; I-EDUC;FAIXA;I-SAUDE;FAIXA; I-PLANEJAMENTO;FAIXA; I-FISCAL;FAIXA; I-AMBIENTE;FAIXA; I-CIDADE;FAIXA;I-GOV-TI;FAIXA
2110856;São Francisco do Brejão;34.9;C;51.0;C+;65.0;B;0.0;C;55.0;C+;2.0;C;0.0;C;10.0;C
2111201;SÃO JOSÉ DE RIBAMAR;51.3;C+;56.0;C+;85.0;B+;31.0;C;50.0;C+;38.0;C;0.0;C;66.0;B
2111250;São José dos Basílios;47.1;C;51.0;C+;74.0;B;35.0;C;63.0;B;12.0;C;0.0;C;18.0;C
2111029;São João do Carú;46.15;C;62.0;B;54.0;C+;33.0;C;63.0;B;19.0;C;0.0;C;21.0;C
2111052;São João do Paraíso;39.05;C;40.0;C;53.0;C+;50.0;C+;25.0;C;48.0;C;5.0;C;8.0;C
2111300;São Luís;51.75;C+;74.0;B;48.0;C;25.0;C;49.0;C;53.0;C+;60.0;B;81.0;B+
2111508;São Mateus do Maranhão;42.55;C;44.0;C;65.0;B;4.0;C;63.0;B;29.0;C;40.0;C;37.0;C
2111532;São Pedro da Água Branca;35.6;C;52.0;C+;55.0;C+;29.0;C;32.0;C;2.0;C;5.0;C;35.0;C
2111573;São Pedro dos Crentes;49.55;C;64.0;B;55.0;C+;40.0;C;42.0;C;35.0;C;60.0;B;65.0;B
2111607;São Raimundo das Mangabeiras;46.0;C;63.0;B;49.0;C;37.0;C;51.0;C+;35.0;C;25.0;C;37.0;C
2111631;São Raimundo do Doca Bezerra;50.65;C+;66.0;B;59.0;C+;27.0;C;69.0;B;46.0;C;10.0;C;31.0;C
2111672;São Roberto;30.4;C;26.0;C;60.0;B;25.0;C;14.0;C;35.0;C;0.0;C;34.0;C
2111706;São Vicente Ferrer;31.6;C;44.0;C;26.0;C;31.0;C;43.0;C;13.0;C;0.0;C;26.0;C
2111805;Sítio Novo;45.1;C;40.0;C;54.0;C+;37.0;C;63.0;B;24.0;C;33.0;C;45.0;C
2112001;Tasso Fragoso;44.9;C;37.0;C;59.0;C+;35.0;C;39.0;C;57.0;C+;30.0;C;70.0;B
2112100;Timbiras;53.2;C+;76.0;B+;75.0;B+;31.0;C;43.0;C;44.0;C;43.0;C;29.0;C
2112209;Timon;60.4;B;80.0;B+;72.0;B;37.0;C;48.0;C;58.0;C+;97.0;A;47.0;C
2112233;Trizidela do Vale;47.35;C;47.0;C;59.0;C+;33.0;C;47.0;C;28.0;C;100.0;A;47.0;C
2112308;Tuntum;33.45;C;52.0;C+;45.0;C;14.0;C;30.0;C;37.0;C;0.0;C;27.0;C
2112407;Turiaçu;38.5;C;43.0;C;62.0;B;0.0;C;50.0;C+;49.0;C;30.0;C;22.0;C
2112605;Urbano Santos;58.8;C+;74.0;B;70.0;B;33.0;C;67.0;B;53.0;C+;30.0;C;64.0;B
2112704;Vargem Grande;51.45;C+;59.0;C+;58.0;C+;27.0;C;63.0;B;49.0;C;47.0;C;56.0;C+
2112803;Viana;39.5;C;44.0;C;56.0;C+;20.0;C;43.0;C;49.0;C;0.0;C;32.0;C
2112852;Vila Nova dos Martírios;41.85;C;54.0;C+;53.0;C+;25.0;C;51.0;C+;39.0;C;10.0;C;21.0;C
2112902;Vitória do Mearim;37.2;C;49.0;C;56.0;C+;13.0;C;34.0;C;38.0;C;30.0;C;18.0;C
2114007;Zé Doca;42.5;C;30.0;C;84.0;B+;25.0;C;58.0;C+;14.0;C;0.0;C;26.0;C
